Ticker,Period,Dataset,Field,Value,DataType,SourceMode
EPH,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,balance_sheet,value,60113347680.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
EPH,LATEST,cash_flow,value,7423165880.0,ACTUAL,VNSTOCK_BRONZE
