Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SC5,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,balance_sheet,value,1959323410639.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SC5,LATEST,cash_flow,value,285101832232.0,ACTUAL,VNSTOCK_BRONZE
