Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VNA,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,balance_sheet,value,846777149257.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNA,LATEST,cash_flow,value,26939560093.0,ACTUAL,VNSTOCK_BRONZE
